condition,n_samples,pack_accuracy,pack_accuracy_above_null,pack_confidence,mode_seeking_ratio,mode_seeking_relative_to_real,n_banned_phrasings_found,coverage_auroc,n_coverage_holes
diversity_only,48,0.5625,0.0625,0.8875,0.23260343176745946,0.23632830336775656,4,1.0,5
few_shot,16,0.25,-0.25,0.884375,0.2297029595397211,0.23338138347350504,4,1.0,5
full_attrforge,48,0.5625,0.0625,0.890625,0.2325098622260399,0.23623323541969338,4,1.0,5
full_classic,48,0.4375,-0.0625,0.884375,0.23214321428291484,0.23586071603907371,3,1.0,5
naive,16,0.3125,-0.1875,0.896875,0.22968489809275508,0.2333630327936143,4,1.0,5
realism_only,48,0.5,0.0,0.890625,0.23019486897606511,0.23388117026348665,3,1.0,5
self_critique,48,0.5,0.0,0.89375,0.23241738322472455,0.23613927547545727,3,1.0,5
