condition,n_samples,pack_accuracy,pack_accuracy_above_null,pack_confidence,mode_seeking_ratio,mode_seeking_relative_to_real,n_banned_phrasings_found,coverage_auroc,n_coverage_holes
diversity_only,48,0.3125,-0.1875,0.6,0.22708374489697533,0.2307202251751403,2,1.0,5
few_shot,16,0.625,0.125,0.625,0.22791728167238728,0.23156711006600755,2,1.0,5
full_attrforge,48,0.5,0.0,0.6,0.2273253492016527,0.23096569848985832,2,1.0,5
full_classic,48,0.4375,-0.0625,0.6,0.22708374489697533,0.2307202251751403,2,1.0,5
naive,16,0.75,0.25,0.625,0.22791728167238728,0.23156711006600755,2,1.0,5
realism_only,48,0.6875,0.1875,0.6,0.22708374489697533,0.2307202251751403,2,1.0,5
self_critique,48,0.5625,0.0625,0.625,0.22524499978499146,0.22885203471320706,2,1.0,5
