condition,n_samples,pack_accuracy,pack_accuracy_above_null,pack_confidence,mode_seeking_ratio,mode_seeking_relative_to_real,n_banned_phrasings_found,coverage_auroc,n_coverage_holes
diversity_only,48,0.5,0.0,0.0,0.23413921784381267,0.23788868325984358,0,1.0,5
few_shot,16,0.5,0.0,0.0,0.2445905414280989,0.24850737255369312,0,1.0,5
full_attrforge,48,0.5,0.0,0.0,0.23514562937435368,0.2389112112926212,0,1.0,5
full_classic,48,0.5,0.0,0.0,0.23436030245667802,0.23811330828391208,0,1.0,5
naive,16,0.5,0.0,0.0,0.243740618401153,0.24764383900466053,0,1.0,5
realism_only,48,0.5,0.0,0.0,0.23509061079648363,0.23885531165664878,0,1.0,5
self_critique,48,0.5,0.0,0.0,0.23487458660912827,0.23863582809487946,0,1.0,5
