condition,n_seeds,acc_mean,acc_sd,macro_f1_mean,macro_f1_sd,attr_match_mean,attr_match_sd,disc_acc_mean,disc_acc_sd,near_dup_mean,near_dup_sd,combo_cov_mean,combo_cov_sd,pack_audit_mean,pack_audit_sd,pack_above_null_mean,pack_above_null_sd,ms_audit_mean,ms_audit_sd,ms_rel_real_mean,ms_rel_real_sd,auroc_mean,auroc_sd,hunter_new_mean,hunter_new_sd
naive,3,0.4666666666666667,0.11547005383792512,0.36507936507936506,0.17819537122220344,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.06666666666666665,0.75,0.0,0.25,0.0,0.21624712125543374,0.012492230766187117,0.21971006569477308,0.012692279214534379,1.0,0.0,1.3333333333333333,1.1547005383792515
few_shot,3,0.4666666666666667,0.11547005383792512,0.36507936507936506,0.17819537122220344,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.06666666666666665,0.625,0.0,0.125,0.0,0.21624712125543374,0.012492230766187117,0.21971006569477308,0.012692279214534379,1.0,0.0,1.3333333333333333,1.1547005383792515
self_critique,3,0.7666666666666667,0.05773502691896263,0.7555555555555555,0.053886025124365036,0.0,0.0,0.5,0.0,0.08333333333333333,0.14433756729740643,0.6444444444444445,0.1387777332977422,0.5625,0.0,0.0625,0.0,0.22264096040630058,0.0052415864926644426,0.22620629469298206,0.0053255243628784425,1.0,0.0,2,0.0
realism_only,3,0.7666666666666667,0.05773502691896263,0.7555555555555555,0.053886025124365036,0.0,0.0,0.7222222222222222,0.10485881160098265,0.041666666666666664,0.07216878364870322,0.6444444444444445,0.1387777332977422,0.6875,0.0,0.1875,0.0,0.22365875357105108,0.005535555252370707,0.2272403866235141,0.0056242006880582,1.0,0.0,1.6666666666666667,0.5773502691896257
diversity_only,3,0.7666666666666667,0.05773502691896263,0.7555555555555555,0.053886025124365036,0.0,0.0,0.5,0.0,0.041666666666666664,0.07216878364870322,0.6444444444444445,0.1387777332977422,0.3125,0.0,-0.1875,0.0,0.22365875357105108,0.005535555252370707,0.2272403866235141,0.0056242006880582,1.0,0.0,1.6666666666666667,0.5773502691896257
full_classic,3,0.7666666666666667,0.05773502691896263,0.7555555555555555,0.053886025124365036,1.0,0.0,0.7222222222222222,0.10485881160098265,0.041666666666666664,0.07216878364870322,0.6444444444444445,0.1387777332977422,0.4375,0.0,-0.0625,0.0,0.22365875357105108,0.005535555252370707,0.2272403866235141,0.0056242006880582,1.0,0.0,1.6666666666666667,0.5773502691896257
full_attrforge,3,0.7666666666666667,0.05773502691896263,0.7555555555555555,0.053886025124365036,1.0,0.0,0.6944444444444444,0.06364688465216445,0.08333333333333333,0.07216878364870322,0.6444444444444445,0.1387777332977422,0.5,0.0,0.0,0.0,0.22366349729392718,0.005742555138164252,0.22724520631155753,0.005834515434642901,1.0,0.0,1.6666666666666667,0.5773502691896257
