condition,n_samples,pack_accuracy,pack_accuracy_above_null,pack_confidence,mode_seeking_ratio,mode_seeking_relative_to_real,n_banned_phrasings_found,coverage_auroc,n_coverage_holes
diversity_only,48,0.75,0.125,0.878125,0.23569516765232174,0.23946954978264684,4,1.0,5
few_shot,16,0.375,-0.25,0.88125,0.22971857676952614,0.2333972507949589,4,1.0,5
full_attrforge,48,0.625,0.0,0.878125,0.23759737791169522,0.24140222171199266,3,1.0,5
full_classic,48,0.625,0.0,0.8875,0.23493591287643587,0.23869813643054996,4,1.0,5
naive,16,0.6875,0.0625,0.875,0.2295598168262775,0.23323594849711396,3,1.0,5
realism_only,48,0.5625,-0.0625,0.884375,0.23603144968030315,0.23981121697354782,1,1.0,5
self_critique,48,0.6875,0.0625,0.88125,0.23394923447478164,0.2376956575296124,4,1.0,5
