condition,n_samples,pack_accuracy,pack_accuracy_above_null,pack_confidence,mode_seeking_ratio,mode_seeking_relative_to_real,n_banned_phrasings_found,coverage_auroc,n_coverage_holes
diversity_only,48,0.3125,-0.1875,0.6,0.21727245348716412,0.220751817421615,2,1.0,5
few_shot,16,0.625,0.125,0.6,0.20306960641002625,0.2063215283789008,2,1.0,5
full_attrforge,48,0.5,0.0,0.6,0.217045080351115,0.2205208031710273,2,1.0,5
full_classic,48,0.4375,-0.0625,0.6,0.21727245348716412,0.220751817421615,2,1.0,5
naive,16,0.75,0.25,0.6124999999999999,0.20306960641002625,0.2063215283789008,2,1.0,5
realism_only,48,0.6875,0.1875,0.6,0.21727245348716412,0.220751817421615,2,1.0,5
self_critique,48,0.5625,0.0625,0.60625,0.21660729585013,0.2200760080638686,2,1.0,5
