condition,tfidf_word_f1_mean,tfidf_word_f1_sd,tfidf_char_f1_mean,tfidf_char_f1_sd,st_minilm_f1_mean,st_minilm_f1_sd
naive,0.37037037037037035,0.04625924443258074,0.348994708994709,0.029130912469548118,0.45365079365079364,0.09843368951760557
few_shot,0.4474074074074074,0.18962384250428674,0.32999999999999996,0.15567059238447492,0.6311111111111111,0.10335125292651987
self_critique,0.4104761904761905,0.09026541865514538,0.36603174603174604,0.16900491300492862,0.5777777777777777,0.13471506281091264
realism_only,0.32571428571428573,0.034771688121007,0.3892063492063492,0.12054800544818606,0.6803174603174603,0.19869491040921144
diversity_only,0.3523809523809524,0.1094989619847465,0.3001587301587302,0.04680333082448363,0.6755555555555556,0.20003703360831668
full_classic,0.5844444444444443,0.05178302310102684,0.5177777777777778,0.08335555259338244,0.6733333333333333,0.12875471943885314
full_attrforge,0.3977777777777778,0.06336256635281445,0.4568253968253968,0.10813753455410689,0.711111111111111,0.08335555259338244
